Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
68101,2025/03/03 12:53:19 AM,258983.16,231316.78,262049.67,752349.62
68102,2025/03/03 01:08:20 AM,258994.14,231327.11,262060.66,752381.87
68103,2025/03/03 01:23:20 AM,259005.17,231337.39,262071.66,752414.25
68104,2025/03/03 01:38:20 AM,259016.33,231347.69,262082.77,752446.75
68105,2025/03/03 01:53:21 AM,259027.53,231358.08,262093.95,752479.56
68106,2025/03/03 02:08:21 AM,259038.80,231368.45,262105.22,752512.50
68107,2025/03/03 02:23:22 AM,259046.77,231375.97,262113.30,752536.06
68108,2025/03/03 02:38:22 AM,259049.31,231378.61,262116.00,752543.94
68109,2025/03/03 02:53:23 AM,259050.33,231379.67,262117.14,752547.12
68110,2025/03/03 03:08:23 AM,259050.34,231379.69,262117.27,752547.31
68111,2025/03/03 03:23:24 AM,259050.39,231379.73,262117.42,752547.56
68112,2025/03/03 03:38:24 AM,259050.39,231379.75,262117.56,752547.69
68113,2025/03/03 03:53:25 AM,259050.39,231379.75,262117.69,752547.81
68114,2025/03/03 04:08:25 AM,259050.41,231379.77,262117.83,752548.00
68115,2025/03/03 04:23:26 AM,259050.41,231379.78,262117.95,752548.12
68116,2025/03/03 04:38:26 AM,259050.42,231379.80,262118.11,752548.31
68117,2025/03/03 04:53:27 AM,259050.48,231379.86,262118.31,752548.62
68118,2025/03/03 05:08:27 AM,259050.50,231379.87,262118.47,752548.87
68119,2025/03/03 05:23:28 AM,259050.50,231379.87,262118.62,752549.00
68120,2025/03/03 05:38:28 AM,259050.53,231379.91,262118.80,752549.25
68121,2025/03/03 05:53:29 AM,259062.77,231389.30,262130.81,752582.87
68122,2025/03/03 06:08:29 AM,259085.02,231405.05,262152.12,752642.19
68123,2025/03/03 06:23:30 AM,259105.56,231420.03,262172.03,752697.62
68124,2025/03/03 06:38:30 AM,259125.39,231434.09,262191.28,752750.75
68125,2025/03/03 06:53:31 AM,259128.98,231437.53,262195.19,752761.69
68126,2025/03/03 07:08:31 AM,259132.42,231440.78,262198.94,752772.12
68127,2025/03/03 07:23:32 AM,259135.77,231443.94,262202.59,752782.25
68128,2025/03/03 07:38:32 AM,259139.20,231447.19,262206.31,752792.69
68129,2025/03/03 07:53:33 AM,259142.69,231450.53,262210.19,752803.37
68130,2025/03/03 08:08:33 AM,259146.27,231453.94,262214.09,752814.25
68131,2025/03/03 08:23:34 AM,259162.09,231469.91,262231.69,752863.69
68132,2025/03/03 08:38:34 AM,259190.67,231495.05,262261.66,752947.37
68133,2025/03/03 08:53:35 AM,259217.50,231515.50,262287.59,753020.62
68134,2025/03/03 09:08:35 AM,259245.41,231537.33,262314.59,753097.37
68135,2025/03/03 09:23:36 AM,259271.41,231557.56,262339.75,753168.75
